KT3D ESTIMATES WITH:  Data input File                                           
2
Estimate
EstimationVariance
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
 -999.000  -999.000
